Time,Temperature,Humidity,Light,Loudness,Z_Anomaly,IQR_Anomaly
1623781306,34.49,38.567499999999995,642,106.0,False,True
1623781316,34.49,38.567499999999995,642,145.0,False,True
1623781326,34.49,38.567499999999995,642,146.0,False,True
1623781336,34.49,38.567499999999995,642,139.0,False,True
1623781346,34.49,38.567499999999995,642,155.0,False,True
1623781356,34.49,38.567499999999995,642,163.0,False,True
1623781366,34.49,38.567499999999995,642,153.0,False,True
1623781376,34.49,38.567499999999995,642,149.0,False,True
1623781386,34.49,38.567499999999995,642,150.0,False,True
1623781396,34.49,38.567499999999995,642,153.0,False,True
1623781406,34.49,38.567499999999995,642,143.0,False,True
1623781416,34.49,38.567499999999995,642,142.0,False,True
1623781426,34.49,38.567499999999995,642,138.0,False,True
1623781436,34.49,38.567499999999995,642,146.0,False,True
1623781446,34.49,38.567499999999995,642,152.0,False,True
1623781456,34.49,38.567499999999995,642,149.0,False,True
1623781466,34.49,38.567499999999995,642,116.0,False,True
1623781476,34.49,38.567499999999995,642,132.0,False,True
1623781486,34.49,38.567499999999995,642,176.0,False,True
1623781496,34.49,38.567499999999995,642,164.0,False,True
1623781506,34.49,38.567499999999995,642,148.0,False,True
1623781516,34.49,38.567499999999995,642,160.0,False,True
1623781526,34.49,38.567499999999995,642,142.0,False,True
1623781536,34.49,38.567499999999995,642,154.0,False,True
1623781546,34.49,38.567499999999995,642,161.0,False,True
1623781556,34.49,38.567499999999995,642,161.0,False,True
1623781566,34.49,38.567499999999995,642,128.0,False,True
1623781576,34.49,38.567499999999995,642,166.0,False,True
1623781586,34.49,38.567499999999995,642,132.0,False,True
1623781596,34.49,38.567499999999995,642,124.0,False,True
1623781606,34.49,38.567499999999995,642,132.0,False,True
1623781616,34.49,38.567499999999995,642,124.0,False,True
1623781626,34.49,38.567499999999995,642,155.0,False,True
1623781636,34.49,38.567499999999995,642,135.0,False,True
1623781646,34.49,38.567499999999995,642,127.0,False,True
1623781656,34.49,38.567499999999995,642,138.0,False,True
1623781666,34.49,38.567499999999995,642,164.0,False,True
1623781676,34.49,38.567499999999995,642,159.0,False,True
1623781686,34.49,38.567499999999995,642,163.0,False,True
1623781696,34.49,38.567499999999995,642,161.0,False,True
1623781706,34.49,38.567499999999995,642,150.0,False,True
1623781716,34.49,38.567499999999995,642,146.0,False,True
1623781726,34.49,38.567499999999995,642,129.0,False,True
1623781736,34.49,38.567499999999995,642,140.0,False,True
1623781746,34.49,38.567499999999995,642,152.0,False,True
1623781756,34.49,38.567499999999995,642,131.0,False,True
1623781766,34.49,38.567499999999995,642,141.0,False,True
1623781776,34.49,38.567499999999995,642,129.0,False,True
1623781786,34.49,38.567499999999995,642,148.0,False,True
1623781796,34.49,38.567499999999995,642,128.0,False,True
1623781806,34.49,38.567499999999995,642,148.0,False,True
1623781816,34.49,38.567499999999995,642,179.0,False,True
1623781826,34.49,38.567499999999995,642,139.0,False,True
1623781836,34.49,38.567499999999995,642,157.0,False,True
1623781846,34.49,38.567499999999995,642,160.0,False,True
1623781856,34.49,38.567499999999995,642,161.0,False,True
1623781866,34.49,38.567499999999995,642,146.0,False,True
1623781876,34.49,38.567499999999995,642,160.0,False,True
1623781886,34.49,38.567499999999995,642,130.0,False,True
1623781896,34.49,38.567499999999995,642,144.0,False,True
1623781906,34.49,38.567499999999995,642,153.0,False,True
1623781916,34.49,38.567499999999995,642,141.0,False,True
1623781926,34.49,38.567499999999995,642,166.0,False,True
1623781936,34.49,38.567499999999995,642,184.0,False,True
1623781946,34.49,38.567499999999995,642,135.0,False,True
1623781956,34.49,38.567499999999995,642,152.0,False,True
1623781966,34.49,38.567499999999995,642,151.0,False,True
1623781976,34.49,38.567499999999995,642,141.0,False,True
1623781986,34.49,38.567499999999995,642,173.0,False,True
1623781996,34.49,38.567499999999995,642,130.0,False,True
1623782006,34.49,38.567499999999995,642,145.0,False,True
1623782016,34.49,38.567499999999995,642,134.0,False,True
1623782026,34.49,38.567499999999995,642,149.0,False,True
1623782036,34.49,38.567499999999995,642,132.0,False,True
1623782046,34.49,38.567499999999995,642,154.0,False,True
1623782056,34.49,38.567499999999995,642,147.0,False,True
